Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,Id
"4880","1","","","2008-08-07 15:54:22","","18","2096","<p>My organization has a form to allow users to update their email address with us.
It's suggested that we have two input boxes for email: the second as an email confirmation.</p>

<p>I always copy/paste my email address when faced with the confirmation.
I'm assuming most of our users are not so savvy.</p>

<p>Regardless, is this considered a good practice?
I can't stand it personally, but I also realize it probably isn't meant for me.
If someone screws up their email, they can't login, and they must call to sort things out.</p>","323","","2134","Chris Fournier","2008-08-23 18:04:58","2010-05-21 08:27:07","Is a ""Confirm Email"" input good practice when user changes email address?","<html><email><forms><confirm>","9","1","1","","","4880","49"
"5179","1","5219","","2008-08-07 19:13:04","","15","17871","<p>ASP.Net server side controls postback to their own page.  This makes cases where you want to redirect a user to an external page, but need to Post to that page for some reason (for authentication, for instance) a pain.</p>

<p>An HttpWebRequest works great if you don't want to redirect, and Javascript is fine in some cases, but can get tricky if you really do need the server-side code to get the data together for the post.</p>

<p>So how do you both post to an external URL and redirect the user to the result from your ASP.Net codebehind code?</p>","111","","111","saalon","2008-08-07 20:08:35","2014-08-10 14:08:42","How Do I Post and then redirect to an external URL from ASP.Net?","<c#><asp.net><javascript><forms>","6","0","5","","","5179","49"
"6913","1","6981","","2008-08-09 21:05:40","","4","343","<p>Is there a good way to create a form in VB6 that can easily be embedded inside other forms?</p>

<p>On a few occasions recently, I've wanted to design and code a Form object that I could plug into several other ""parent"" forms.  My goal is to create a centralized piece of code for managing several UI components in a particular way, and then be able to use that (both the UI layout and the logic) in more than one place.  I'm certainly willing to use code (rather than the Design View) to load the child form.</p>

<p>The best I've come up with so far is to pull all of the interesting logic for the child form into a Class Module, and have each parent form lay out the UI (in a Picture control, perhaps) and pass that Picture object into the class module.  The class then knows how to operate on the picture, and it assumes that all its expected pieces have been laid out appropriately.  This approach has several downsides, and I'd like something a bit more elegant.</p>","863","","3576214","","2015-01-01 23:04:26","2015-01-01 23:04:26","How do I best share an embeddable form in VB6?","<forms><vb6><code-reuse>","1","0","","","","6913","49"
"8485","1","49184","","2008-08-12 05:16:01","","11","2665","<p>I'm using ASP.NET MVC Preview 4 and would like to know how to use the routing engine for form submissions.</p>

<p>For example, I have a route like this:</p>

<pre><code>routes.MapRoute(
            ""TestController-TestAction"",
            ""TestController.mvc/TestAction/{paramName}"",
            new { controller = ""TestController"", action = ""TestAction"", id = ""TestTopic"" }
            );
</code></pre>

<p>And a form declaration that looks like this:</p>

<pre><code>&lt;% using (Html.Form(""TestController"", ""TestAction"", FormMethod.Get))
   { %&gt;
     &lt;input type=""text"" name=""paramName"" /&gt;
     &lt;input type=""submit"" /&gt;
&lt;% } %&gt;
</code></pre>

<p>which renders to:</p>

<pre><code>&lt;form method=""get"" action=""/TestController.mvc/TestAction""&gt;
  &lt;input type=""text"" name=""paramName"" /&gt;
  &lt;input type=""submit"" /&gt;
&lt;/form&gt;
</code></pre>

<p>The resulting URL of a form submission is:</p>

<pre><code>localhost/TestController.mvc/TestAction?paramName=value
</code></pre>

<p>Is there any way to have this form submission route to the desired URL of:</p>

<pre><code>localhost/TestController.mvc/TestAction/value
</code></pre>

<p>Thanks in advance for any assistance.</p>

<p>The only solutions I can think of are to create a separate action that just checks the request parameters, or to use Javascript.</p>
","364","","727208","Haacked","2012-07-13 06:26:30","2015-07-14 01:46:57","Use the routing engine for form submissions in ASP.NET MVC Preview 4","<asp.net-mvc><forms><asp.net-mvc-routing>","3","0","","","","8485","49"
"8728","1","161214","","2008-08-12 12:10:14","","2","3997","<p>I've got an MDI application written in Delphi 2006 which runs XP with the default theme. Is there a way of controlling the appearance of the MDI Children to avoid the large XP-style title bar on each window? I've tried setting the BorderStyle of the MDIChildren to bsSizeToolWin but they are still rendered as normal Forms.</p>
","1008","Marius","","","","2010-01-02 13:41:21","Delphi MDI Application and the titlebar of the MDI Children","<delphi><forms><mdi>","4","0","2","","","8728","49"
"11974","1","12057","","2008-08-15 04:54:05","","3","2755","<p>Basically, something better than this:</p>

<blockquote>
  <p>&lt;input type=""file"" name=""myfile"" size=""50""&gt;</p>
</blockquote>

<p>First of all, the ""browse"" button looks different on every browser.  Unlike the ""submit"" button on a form, you have to come up with some <a href=""http://www.quirksmode.org/dom/inputfile.html"" rel=""nofollow"">hack-y</a> way to style it.</p>

<p>Secondly, there's no progress indicator showing you how much of the file has uploaded.  You usually have to implement some kind of client-side way to disable multiple submits (e.g. change the submit button to a disabled button showing ""Form submitting... please wait."") or flash a giant warning ""DO NOT SUBMIT TWICE.""</p>

<p>Are there any good non-Flash or silly Java applet solutions to this?</p>

<p><a href=""http://stackoverflow.com/questions/11974/what-is-the-best-way-to-upload-a-file-via-an-http-post-with-a-web-form#12005"" rel=""nofollow"">Yaakov</a>: That product looks to be exactly what I'm looking for, but the cost is $1000 and its specifically for ASP.NET.  Hasn't the open source community done any better? ;-)</p>
","1396","go, minimal","2961","Stu Thompson","2008-09-17 07:59:41","2013-04-03 07:47:51","What is the best way to upload a file via an HTTP POST with a web form?","<html><http><forms><post><upload>","4","0","3","","","11974","49"
"12095","1","12119","","2008-08-15 09:19:04","","2","1495","<p>Our team is creating a new recruitment workflow system to replace an old one. I have been tasked with migrating the old data into the new schema. I have decided to do this by creating a small Windows Forms project as the schema are radically different and straight TSQL scripts are not an adequate solution.</p>

<p>The main sealed class 'ImportController' that does the work declares the following delegate event:</p>

<pre><code>public delegate void ImportProgressEventHandler(object sender, ImportProgressEventArgs e);
public static event ImportProgressEventHandler importProgressEvent;
</code></pre>

<p>The main window starts a static method in that class using a new thread:</p>

<pre><code>Thread dataProcessingThread = new Thread(new ParameterizedThreadStart(ImportController.ImportData));
dataProcessingThread.Name = ""Data Importer: Data Processing Thread"";
dataProcessingThread.Start(settings);
</code></pre>

<p>the ImportProgressEvent args carries a string message, a max int value for the progress bar and an current progress int value. The Windows form subcribes to the event:</p>

<pre><code>ImportController.importProgressEvent += new ImportController.ImportProgressEventHandler(ImportController_importProgressEvent);
</code></pre>

<p>And responds to the event in this manner using it's own delegate:</p>

<pre><code>    private delegate void TaskCompletedUIDelegate(string completedTask, int currentProgress, int progressMax);

private void ImportController_importProgressEvent(object sender, ImportProgressEventArgs e)
            {
                this.Invoke(new TaskCompletedUIDelegate(this.DisplayCompletedTask), e.CompletedTask, e.CurrentProgress, e.ProgressMax);
            }
</code></pre>

<p>Finally the progress bar and listbox are updated:</p>

<pre><code>private void DisplayCompletedTask(string completedTask, int currentProgress, int progressMax)
        {
            string[] items = completedTask.Split(new string[] { Environment.NewLine }, StringSplitOptions.RemoveEmptyEntries);

            foreach (string item in items)
            {
                this.lstTasks.Items.Add(item);
            }

            if (currentProgress &gt;= 0 &amp;&amp; progressMax &gt; 0 &amp;&amp; currentProgress &lt;= progressMax)
            {
                this.ImportProgressBar.Maximum = progressMax;
                this.ImportProgressBar.Value = currentProgress;
            }
        }
</code></pre>

<p>The thing is the ListBox seems to update very quickly, but the progress bar never moves until the batch is almost complete anyway ??? what gives ?</p>
","2083160","HollyStyles","6899","ΤΖΩΤΖΙΟΥ","2008-10-15 21:46:51","2008-10-15 21:46:51","Windows Forms Threading and Events - ListBox updates promptly but progressbar experiences huge delay","<windows><multithreading><events><forms><delegates>","6","0","1","","","12095","49"
"17817","1","17822","","2008-08-20 12:12:13","","11","7544","<p>Any recommendations for a javascript form validation library. I could try and roll my own (but I'm not very good at javascript). Needs to support checking for required fields, and preferably regexp validation of fields.</p>
","1912","robintw","362006","","2012-01-02 12:40:24","2013-08-30 08:30:41","Recommendation for javascript form validation library","<javascript><forms><validation>","4","0","1","2013-08-30 08:41:38","","17817","49"
"18614","1","","","2008-08-20 19:16:01","","3","663","<p>What is the the best way to write a form to submit some data in ASP.NET MVC? Is it as <a href=""http://en.wikipedia.org/wiki/Scott_Guthrie"" rel=""nofollow"">Scott Guthrie</a> demonstrates here? Are there better approaches? Perhaps with less using of strings?</p>

<p><img src=""http://i.stack.imgur.com/yehPg.png"" alt=""alt text""></p>
","230","Dan","1219121","","2012-04-01 09:21:38","2012-04-01 09:21:38","What is the best way to write a form in ASP.NET MVC?","<asp.net-mvc><forms>","1","1","1","","","18614","49"
"20281","1","","","2008-08-21 15:41:02","","2","1314","<p>Anyone doing any work using ""offline"" forms?  We have an application that requires inputting data from outside our company.  I was thinking about sending a form out via email, allowing the form to be filled out then sent back.  Obviously a web application would be the best solution, but management doesn't seem ready to build the infrastructure and security to support that.  I've read a little about PDF forms is that a good solution or are there other solutions?</p>
","1351","Monroecheeseman","","","","2009-03-17 03:31:45","Offline forms","<forms><offline>","2","0","","","","20281","49"
