Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,Id
"11152845","1","11153439","","2012-06-22 08:39:54","","3","179","<p>I am trying to create a jQuery Gallery that lets the user flip (with previous, next buttons) through 'icons' which contain photos, movies, PDF documents. </p>

<p>My strategy is as follows:</p>

<ul>
<li>keep jQuery ignorant of the actual contents of the icon,</li>
<li>the actual content comes from an Ajax callback, which returns an HTML string,</li>
<li>if my php-code so decides, a previous and/or next button maybe present in that HTML string,</li>
<li>if those buttons are present, bind a click event to them,</li>
<li>the click event makes a recursive call to mainLoop() which shows the new icon.</li>
</ul>

<p>Here is the code:</p>

<pre><code>function mainLoop() {
if (icons[newIndex] !== IFM_APPENDED ) { // tests whether this icon has already been loaded
    $.ajax({
        type: 'POST',
        url: '/callback/div_supply',
        data: {iconindex: newIndex},
        success: function(data) {
            $('#jquery-lightbox').append(data); // inserts new icon into the DOM
            icons[newIndex] = IFM_APPENDED; // registers that this icon has been loaded
            if ($('#icon'+newIndex+' .prev-button').length !== 0) { // test if the previous button is present
                $('#icon'+newIndex+' .prev-button').click(function () {
                oldIndex = newIndex;
                newIndex -= 1;
                mainLoop();
                }); // END $('#icon'+newIndex+' .prev-button').click()
            } // END if ($('#icon'+newIndex+' .prev-button').length !== 0) 
            if ($('#icon'+newIndex+' .next-button').length !== 0) { // test if the previous button is present
                $('#icon'+newIndex+' .next-button').click(function () {
                oldIndex = newIndex;
                newIndex += 1;
                mainLoop();
                }); // END $('#icon'+newIndex+' .prev-button').click()
            } // END if ($('#icon'+newIndex+' .prev-button').length !== 0) 
        } // END succes:
    }); // END $.ajax
} //  END if (icons[newIndex] !== IFM_APPENDED )
$('#icon'+oldIndex).hide(); // hide the old icon
$('#icon'+newIndex).show(); // hide the new icon
}

$(document).ready(function() {
// Hide some elements to avoid conflict with overlay in IE. These elements appear above the overlay.
$('embed, object, select').css({ 'visibility' : 'hidden' });
$(""#gallery li"").click(function() {
    _set_interface();
    mainLoop();
}); // END  $(""#gallery a"").click(function
}); // END $(document).ready(function()
</code></pre>

<p>This code works fine when I step through mainLoop() in the Firebug debugger. </p>

<p>However, when I run it, the script just hangs. It also ends up hanging when I step though the $(document).ready(function(). There a no console.log() calls which could throw Firebug off.</p>

<p>I suspect there is something wrong with the way I have set up recursion.</p>

<p>What is going wrong?</p>
","1084165","","","","","2012-07-24 08:43:17","recursive/auto-executing functions in Jquery behaves differently in Firebug","<jquery><recursion><firebug>","1","5","0","","","11152845","921"
"17020347","1","17020394","","2013-06-10 09:07:20","","-1","47","<p>I have developed a software under the GPL lisence, and I need to integrate a source code from another software under the LGPL lisence.</p>

<p>Is it permitted to do?</p>
","781252","","","","","2013-06-10 09:10:33","Integration of the LGPL code in a GPL code?","<gpl><lgpl>","1","2","","2013-06-10 10:19:34","","17020347","3871"
"24507711","1","24512509","","2014-07-01 10:13:47","","1","178","<p>Currently none of my hostnames are resolving to my server which uses no-ip DDNS related to <a href=""https://www.noip.com/blog/2014/06/30/ips-formal-statement-microsoft-takedown/"" rel=""nofollow"">this</a> issue. Is it possible to use the server IP address instead of the DDNS domain name in the <code>JDBC</code> connector?</p>

<pre><code>private static final String driver = ""com.mysql.jdbc.Driver"", host = ""jdbc://mysql:no-ip.hostname/"", dbName = ""databaseName"", username = ""username"", password = ""password"";
Connection conn = (Connection) DriverManager.getConnection(host + dbName, username, password);
</code></pre>
","888990","","","","","2014-07-01 14:16:02","Can I use database IP address instead of hostname in JDBC connector?","<java><mysql><database><jdbc><database-connection>","1","2","","","","24507711","5617"
"3036156","1","3036223","","2010-06-14 09:29:19","","2","5459","<p>JAVA
NETBEANS</p>

<pre><code>// resultsTable, myModel
JTable resultsTable;
DefaultTableModel myModel; //javax.swing.table.DefaultTableModel
myModel = (DefaultTableModel) resultsTable.getModel();

// event of clicking on item of table
String value = (String) myModel.getValueAt(resultsTable.getSelectedRow(), columnIndex)
</code></pre>

<p>I use JTable and DefaultTableModel to view a table of various info
and I want to get a value of a certain column of the selected index of the table.</p>

<p>The code I wrote above works fine except when:
I use the sort of the GUI (click on the field name I want to sort on the table)
The table is properly sorted but after that when I select a row, it gets
the value of the row that was there before the sort.
This means that after sorting (using the JTable's GUI)
the 'myModel' and 'resultsTable' objects have different row indexes.</p>

<p>How do I synchronize those two?</p>
","350061","","1610986","","2014-03-13 10:19:37","2014-12-09 11:39:29","JTable's and DefaultTableModel's row indexes lose their synchronization after I sort JTable","<java><sorting><synchronization><jtable><tablemodel>","3","0","","","","3036156","38618"
"7436086","1","7436987","","2011-09-15 19:05:38","","1","146","<p>I used to use this code to serve static files from Comanche web server from within Pharo 1.2 image:</p>

<pre>
createService
| contentPath dirPath  svc ma |

    contentPath := 'htdocs'.
    dirPath := FileDirectory default fullNameFor: contentPath.
    svc := (HttpService on: self port)
        name: 'seaside-' , self port greaseString.
    ma := ModuleAssembly core.
    ma alias: '/static' to: [
        ma serverRoot: dirPath.
        ma documentRoot: dirPath.
        ma directoryIndex: 'index.html index.htm'.
        ma serveFiles ].
    ma addPlug: self.
    svc plug: ma rootModule.
    ^ svc
</pre>

<p>The code if from <a href=""http://samadhiweb.com/blog/2011.07.10.seaside.comanche.staticfiles.html"" rel=""nofollow"">http://samadhiweb.com/blog/2011.07.10.seaside.comanche.staticfiles.html</a></p>

<p>Unfortunately, this doesn't work any more on Pharo 1.3. ModuleAssembly class doesn't exist any more. So how do I setup comanche to serve static files?</p>
","514306","","514306","","2011-09-15 19:35:55","2011-09-16 07:24:07","serving static files with comanche","<static><smalltalk><pharo><httpserver>","2","0","","","","7436086","31348"
"23019586","1","","","2014-04-11 18:02:51","","1","321","<p>I am attempting maintenance on a system I did not write (and aren't we all?).  It is written in C Sharp and JavaScript, with Telerik reports.</p>

<p>It has the following code included in JavaScript that runs when the user clicks a button to display a report in a separate window:</p>

<pre><code>var oIframe = $(""iframe id='idReportFrame' style='display:none' name='idReportFrame' src=''&gt;"");
oIframe.load(function() { parent.ViewReports(); });

oIframe.appendTo('body');

try
{
  $('#idReportForm').attr('target', 'idReportFrame');
  $('#idReportForm').submit();
}
catch (err) { // I did NOT write this
            }
</code></pre>

<p>Then the load function:</p>

<pre><code>function ViewReports()
{
  var rptName = $(""#ReportNameField"").val();

  if (rptName == '') { return false; }

  var winOption = ""fullscreen=no,height="" + $(window).height() + ""left=0,directories=yes,titlebar=yes,toolbar=yes,location=yes,status=no,menubar=yes,scrollbars=no,resizable=no, top=0, width="" + $(window).width();
  var win = window.open('@Url.Action(""ReportView"", ""MyController"")?pReportName=' + rptNameCode, 'Report', winOption);
  win.focus();
  return false;
}
</code></pre>

<p>When I execute this (in Chrome, at least), it does pop up the window and put the report in it.  However, breakpoints in the c# code indicate that it is getting called 2 or 3 times.  Breakpoints in the JavaScript and examination of the little log in the JavaScript debugging environment in Chrome show that the call to <code>win.focus()</code> fails once or twice before succeeding.  It returns an undefined value, and then it appears that the first routine above is executed again.</p>

<p>I am inclined to think it some kind of timing issue, except that the window.open() call is supposed to be synchronous as far as I can tell, and I don't know why it would succeed sometimes and not others.  There is a routine that gets executed on load of the window, perhaps that's somehow screwing up the return of the value from open().</p>

<p>I am not a JavaScript person much, as those of you that are can likely tell by this time.  If there is something with the code I've put here that you can tell me is incorrect, that's great; what I'm more hopeful for is someone who can explain how the popup-report-in-frame is supposed to work.  Hopefully I can do it without having to replace too much of the code I've got, as it is brittle and was not, shall we say, written with refactoring in mind.</p>
","3893496","","","","","2014-04-22 21:13:04","JavaScript window.open returns null sometimes","<c#><javascript><window.open>","1","0","","","","23019586","29700"
"14286024","1","","","2013-01-11 20:20:24","","1","397","<p>We've got a table that has new rows for each updated value. The primary key consists of an ID and a timestamp. There's also a status column. For a particular ID, we'll have a row representing each time that value was updated and we use the one with the most recent timestamp to represent the ""current"" value.</p>

<p>We have a process that will update the state based on user input. So when a user clicks a button in the UI, a new row will be created with the new state and a new user id.</p>

<p>If two users click the button at the same time, we're just inserting two new records and one of them will win (the one with the newest timestamp). We'd like to avoid having two users click this button at the same time and one potentially creating a new row without knowing they stepped on someone else's state change. In Oracle, we'd just do something like this and check that a row was inserted (where PREVIOUS_KNOWN_MAX_TS is the TS for the ""current"" record when the user viewed the page):</p>

<pre><code>INSERT INTO SOME_TABLE
   (ID, REVISION_TS, USER_ID, STATUS, ...)
SELECT 1, 'SOME_TIMESTAMP', 'user123', 'NEW_STATUS', ...
FROM DUAL
WHERE NOT EXISTS
   (SELECT *
   FROM SOME_TABLE
   WHERE USER_ID = 1
      AND REVISION_TS &gt;= 'PREVIOUS_KNOWN_MAX_TS'));
</code></pre>

<p>If there was an insert between the time the user viewed the page and the time the user's updated info was inserted, the insert wouldn't happen and we'd detect that by knowing zero rows were inserted.</p>

<p>Is there a way to do this in Hibernate or should we try doing some kind of SELECT FOR UPDATE?</p>
","26535","","26535","","2015-08-14 21:26:46","2015-08-14 21:26:46","Is there a way to conditionally insert using Hibernate?","<java><oracle><hibernate><not-exists>","1","3","","","","14286024","194"
"11604391","1","11611437","","2012-07-22 22:08:12","","2","4017","<p>I'm using iReport 2.0.4 to export some data to excel from a java application. </p>

<p>My problem is my subreports are grouping under the top level report but I want them to be discrete reports. Currently it looks like this</p>

<p><b>Order</b>
<br>&nbsp;&nbsp;&nbsp;-Order Line 1
<br>&nbsp;&nbsp;&nbsp;&nbsp;<b>Receipts</b>
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-Receipt Line 1
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-Receipt Line 2
<br>&nbsp;&nbsp;&nbsp;&nbsp;<b>Invoices</b>
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-Invoice Line 1
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-Invoice Line 2
<br><b>Order</b>
<br>&nbsp;&nbsp;&nbsp;-Order Line 2
<br>&nbsp;&nbsp;&nbsp;&nbsp;<b>Receipts</b>
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-Receipt Line 1
<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;........</p>

<p>I want it to be 3 separate reports in one spreadsheet. Like this</p>

<p><b>Order</b>
<br>&nbsp;&nbsp;&nbsp;&nbsp;all Order lines
<br><b>Receipts</b>
<br>&nbsp;&nbsp;&nbsp;&nbsp;all Receipt lines
<br><b>Invoices</b>
<br>&nbsp;&nbsp;&nbsp;&nbsp;all Invoice lines</p>

<p>Currently I have the Orders as the master report and the Receipts and Invoices as subreports, dropped into the detail band Orders. </p>

<p>What is the best way to get this layout, if it's possible at all?</p>
","1544520","","347484","","2014-04-21 22:04:27","2014-04-21 22:04:27","Having many separate - unrleated datasets in iReport","<java><jasper-reports><ireport><subreport>","1","0","2","","","11604391","10208"
"15988410","1","","","2013-04-13 13:39:53","","0","141","<p>How do I create an instance of a type I've just created with AssemblyDefinition/TypeDefinition (I mean in runtime)? Currently, I save the created assembly as a file, read it with System.Reflection.Assembly.Load, find the type, find its constructor, and finally call the constructor.</p>

<p>Is there a way to do that entirely in memory without the temporary file?</p>
","2277519","","41071","","2013-04-13 14:40:06","2013-05-10 14:00:17","Mono.Cecil Instantiate dynamically created type","<.net><mono.cecil>","1","3","1","","","15988410","1"
"21490511","1","21490587","","2014-01-31 21:36:44","","3","79","<p>Okay so I get that some numbers can't be represented properly in binary just like 1/3 can't be fully represented in decimal.</p>

<p>So how come when I console.log(0.3) it returns 0.3
but when I console.log(0.1 + 0.2) it returns the 0.30000000000000004</p>

<p>How come it is accounting for the error (if it even is) when simply outputting 0.3 but doesn't when the addition occurs? </p>
","1743162","","110707","","2014-01-31 21:38:07","2014-01-31 21:52:31","General floating-point maths query","<javascript><math><floating-point-precision>","4","5","","","","21490511","259"
